place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score,tiktok_raw,gmaps_raw,tiktok_score_norm,gmaps_score_norm,attraction_score,open_min,close_min,visit_duration_min,include_in_route
Maze bar,cafe,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,,Maze Bar,ChIJsx2AxigTcTERJJ1Fu4CmsMs,"57 Phan Bội Châu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9446386,108.4375466,4.6,1755,2,0903 040 202,https://www.facebook.com/100roof.mazebar/,OPERATIONAL,Thứ Hai: 08:00–00:00 | Thứ Ba: 08:00–00:00 | Thứ Tư: 08:00–00:00 | Thứ Năm: 08:00–00:00 | Thứ Sáu: 08:00–00:00 | Thứ Bảy: 08:00–00:00 | Chủ Nhật: 08:00–00:00,08:00,00:00,100,16.95,34.37,0.002,0.769,0.3088,480,1440,60,True
Say xưa,chợ quán,1,103,16500,8205,,https://www.tiktok.com/@bocauzotriiudalat/video/7524263642276105479,1,11.75,,SAY “XƯA”,ChIJbUFZh5UTcTERSYhtKfFqQng,"68 Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9451729,108.4349457,4.8,1239,,0795 908 555,https://www.facebook.com/sayxuadl?mibextid=kFxxJD,OPERATIONAL,Thứ Hai: 12:00–02:00 | Thứ Ba: 12:00–02:00 | Thứ Tư: 12:00–02:00 | Thứ Năm: 12:00–02:00 | Thứ Sáu: 12:00–02:00 | Thứ Bảy: 12:00–02:00 | Chủ Nhật: 12:00–02:00,12:00,02:00,100,16.75,34.19,0.0019,0.765,0.3072,720,1560,45,True
Dom Dom House Dalat,homestay,1,68600,4100000,19500,,https://www.tiktok.com/@domdomhousedalat/video/7502706387995102485,1,488.6,,D HOUSE DALAT,ChIJASMb5A0TcTERq1ydj3DBnAw,"131 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9306624,108.4643133,4.5,243,,0392 006 743,http://dhousedalatvilla.com/,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,70.0,493.6,24.74,0.1383,0.5535,0.3044,0,,0,False
Cheo veo cà phê,cafe,1,75,4489,346,,https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165,1,10.52,,Tiệm cà phê Cheo veooo,ChIJ-xejkDsTcTERpFMfI6ZLr5A,"116 Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9381566,108.4823005,4.5,1864,2,0921 297 299,https://www.facebook.com/cheoveooo/,OPERATIONAL,Thứ Hai: 07:30–20:00 | Thứ Ba: 07:30–20:00 | Thứ Tư: 07:30–20:00 | Thứ Năm: 07:30–20:00 | Thứ Sáu: 07:30–20:00 | Thứ Bảy: 07:30–20:00 | Chủ Nhật: 07:30–20:00,07:30,20:00,81.08108108108108,15.52,33.89,0.0016,0.7583,0.3043,450,1200,60,True
Soho Coffee Đà Lạt,cafe,1,9119,486100,70600,,https://www.tiktok.com/@julepe.sheen/video/7601887338511289608,1,67.73,,SOHO COFFEE DA LAT,ChIJRem8M20TcTERDOdHbhWOtIw,"21 Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9389445,108.4631401,4.9,792,,0908 633 287,http://facebook.com/sohocoffeedalat,OPERATIONAL,Thứ Hai: 05:00–22:00 | Thứ Ba: 05:00–22:00 | Thứ Tư: 05:00–22:00 | Thứ Năm: 05:00–22:00 | Thứ Sáu: 05:00–22:00 | Thứ Bảy: 05:00–22:00 | Chủ Nhật: 05:00–22:00,05:00,22:00,100,72.73,32.71,0.0179,0.732,0.3035,300,1320,60,True
Vườn địa đàng,thiên nhiên,2,216,31087,46600,,https://www.tiktok.com/@ducdodalat/video/7324336510549904658,1,23.32,Cafe Vườn Địa Đàng,Vườn Địa Đàng,ChIJoa-KU1UVcTERxJbqPGRF21U,"Hoa Cẩm Tú Cầu, Xuân Hương - Đà Lạt, Lâm Đồng 66100, Việt Nam",11.9016994,108.4395692,4.4,2013,,,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,100,28.32,33.47,0.0052,0.749,0.3028,420,1080,90,True
Mộc Quán BBQ,chợ quán,1,1404,202100,71900,,https://www.tiktok.com/@tungnuitravel/video/7445286601103510801,0,31.61,,Mộc Quán BBQ,ChIJW3FM-JYTcTERU0xUOQVuDQ0,"Hẻm 59 Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9218202,108.4404024,4.8,1016,,0963 576 898,https://m.facebook.com/Mocquanbbq?mibextid=dGKdO6,OPERATIONAL,Thứ Hai: 10:30–23:00 | Thứ Ba: 10:30–23:00 | Thứ Tư: 10:30–23:00 | Thứ Năm: 10:30–23:00 | Thứ Sáu: 10:30–23:00 | Thứ Bảy: 10:30–23:00 | Chủ Nhật: 10:30–23:00,10:30,23:00,100,31.61,33.24,0.0062,0.7438,0.3012,630,1380,45,True
Cau Go San May,thiên nhiên,1,63500,1300000,240500,,https://www.tiktok.com/@tiemanhbaprangbo/video/7336046705617440007,1,203.5,,Săn mây cầu gỗ,ChIJPX9PMMYXcTERh0HQHzk4BVM,"Trường Thọ, Xuân Trường - Đà Lạt, Lâm Đồng 66121, Việt Nam",11.8924324,108.5680309,4.7,522,,0909 797 991,,OPERATIONAL,Thứ Hai: 04:30–22:00 | Thứ Ba: 04:30–22:00 | Thứ Tư: 04:30–22:00 | Thứ Năm: 04:30–22:00 | Thứ Sáu: 04:30–22:00 | Thứ Bảy: 04:30–22:00 | Chủ Nhật: 04:30–22:00,04:30,22:00,71.42857142857143,208.5,29.42,0.0568,0.6583,0.2974,270,1320,90,True
Lẩu gà lá é Tạo Ngộ,chợ quán,1,750,42400,74000,,https://www.tiktok.com/@sayhihuy/video/7350238587985726738,1,14.99,,Lẩu gà lá é Tao Ngộ,ChIJ14MTlwqRNDERKh9SbNSC2TE,"4A/5 Hẻm Cầu Đúc, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9391984,108.4480242,4,3762,2,0947 394 758,https://laugalaetaongo.net/,OPERATIONAL,Thứ Hai: 08:00–22:00 | Thứ Ba: 08:00–22:00 | Thứ Tư: 08:00–22:00 | Thứ Năm: 08:00–22:00 | Thứ Sáu: 08:00–22:00 | Thứ Bảy: 08:00–22:00 | Chủ Nhật: 08:00–22:00,08:00,22:00,94.73684210526316,19.99,32.93,0.0028,0.7369,0.2965,480,1320,45,True
Chợ Đà Lạt,chợ quán,1,1967,88800,250,siêu rẻ HSSV,https://www.tiktok.com/@ngotdichoi/video/7587357211525926164,1,20.85,,Chợ đà lạt,ChIJERJoQwATcTERR_bBPr8wkUY,"chợ Đà Lạt, 24 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng 02633, Việt Nam",11.9430226,108.4368778,4.5,1421,,,,OPERATIONAL,,,,100,25.85,32.67,0.0045,0.731,0.2951,,,45,True
Cầu Đất,thiên nhiên,2,201,15641,56900,,https://www.tiktok.com/@ducdodalat/video/7294170018793737479,2,21.77,,Cầu Đất,ChIJAVdAv0oXcTERL6v91zKsVkA,"Unnamed, Road, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.891738,108.56541,4.7,1003,,,,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,31.77,32.49,0.0062,0.7269,0.2945,0,,90,True
Vườn cẩm tú cầu DonkiLand,địa điểm checkin,1,167,46600,58000,,https://www.tiktok.com/@dalatreviewcotam/video/7429645808452128001,1,14.83,,Vườn Hoa Cẩm Tú Cầu,ChIJ50x58zMScTERbfECwVkKQqI,"Đường Tập Đoàn 7, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9459911,108.5130737,4.3,1941,,0983 814 396,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,81.81818181818181,19.83,32.56,0.0028,0.7285,0.2931,420,1080,30,True
Tiệm Cafe Nhớ Hoài,cafe,1,62,1523,116,,https://www.tiktok.com/@langthanglk/video/7552701224886275336,1,10.21,,Cà phê Tiệm may Nhớ Hoài,ChIJgabtscoTcTERrc2I0kvV6sM,"9 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9371712,108.4485328,4.8,888,,0933 079 857,https://www.facebook.com/caphetiemmaynhohoaia,OPERATIONAL,Thứ Hai: 06:00–22:00 | Thứ Ba: 06:00–22:00 | Thứ Tư: 06:00–22:00 | Thứ Năm: 06:00–22:00 | Thứ Sáu: 06:00–22:00 | Thứ Bảy: 06:00–22:00 | Chủ Nhật: 06:00–22:00,06:00,22:00,71.42857142857143,15.21,32.59,0.0015,0.7293,0.2926,360,1320,60,True
Chon Binhyen Coffee,cafe,1,57,1010,90,,https://www.tiktok.com/@chonbinhyencoffeedalat/video/7624022339621047560,1,10.16,,Chốn Bình Yên Coffee - Đà Lạt,ChIJubrYNV0TcTERmm56UiRgB4o,"Tầng 7, Sân Thượng, 19 Đường Lê Đại Hành, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9385246,108.4380427,4.7,1001,,0906 819 295,https://www.facebook.com/chonbinhyencoffee,CLOSED_PERMANENTLY,,,,71.7948717948718,15.16,32.48,0.0015,0.7267,0.2916,,,60,True
Tiệm cơm Mêli Đà Lạt,chợ quán,1,1091,107400,5685,,https://www.tiktok.com/@quanngondalat/video/7446651507530845447,1,21.83,,Tiệm cơm Mêli,ChIJ3ZIQSr8TcTER-GnZra5PKO8,"Hẽm 288, Đ. Bùi Thị Xuân, Xuân Hương - Đà Lạt, Lâm Đồng 660000, Việt Nam",11.9538396,108.4415793,4.5,1292,2,0888 869 333,https://www.facebook.com/tiemcommelidalat,OPERATIONAL,Thứ Hai: 11:00–00:00 | Thứ Ba: 00:00–20:00 | Thứ Tư: 11:00–20:00 | Thứ Năm: 11:00–20:00 | Thứ Sáu: 11:00–20:00 | Thứ Bảy: 11:00–20:00 | Chủ Nhật: 11:00–20:00,11:00,20:00,100,26.83,32.24,0.0048,0.7214,0.2915,660,1200,45,True
Trạm Ký Ức,địa điểm checkin,1,18800,585200,758200,,https://www.tiktok.com/@dieuhoang211/video/7523798698493545735,1,87.32,,Trạm Ký Ức,ChIJeQHgCgATcTERhv1Y6oGP5k8,"87 Huỳnh Tấn Phát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.956829,108.4876487,4.2,1585,2,0917 148 139,,OPERATIONAL,Thứ Hai: 07:00–22:00 | Thứ Ba: 07:00–22:00 | Thứ Tư: 07:00–22:00 | Thứ Năm: 07:00–22:00 | Thứ Sáu: 07:00–22:00 | Thứ Bảy: 07:00–22:00 | Chủ Nhật: 07:00–22:00,07:00,22:00,100,92.32,30.95,0.0235,0.6925,0.2911,420,1320,30,True
Thác Mây,thiên nhiên,1,22900,1100000,26700,,https://www.tiktok.com/@thacmay/video/7550279164360690962,1,142.9,,Thác mây & chill,ChIJi2rtKWwTcTERh0GfYiMke80,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9390111,108.5077653,4.8,499,,0989 795 479,,OPERATIONAL,Thứ Hai: 05:00–19:00 | Thứ Ba: 05:00–19:00 | Thứ Tư: 05:00–19:00 | Thứ Năm: 05:00–19:00 | Thứ Sáu: 05:00–19:00 | Thứ Bảy: 05:00–19:00 | Chủ Nhật: 05:00–19:00,05:00,19:00,87.72727272727273,147.9,29.83,0.0394,0.6675,0.2907,300,1140,90,True
Tiệm Cơm Hồi Đó,chợ quán,1,5057,271200,74000,平价,https://www.tiktok.com/@sayhihuy/video/7351351906515619090,1,42.18,,Tiệm cơm Hồi Đó,ChIJzzMXM1wTcTERTIdrsfz1Y34,"5 Lý Nam Đế, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.9581647,108.4390875,4.8,739,,0929 394 939,https://www.facebook.com/tiemcomhoido/,OPERATIONAL,Thứ Hai: 09:30–16:00 | Thứ Ba: 09:30–16:00 | Thứ Tư: 09:30–16:00 | Thứ Năm: 09:30–16:00 | Thứ Sáu: 09:30–16:00 | Thứ Bảy: 09:30–16:00 | Chủ Nhật: 09:30–16:00,09:30,16:00,100,47.18,31.71,0.0106,0.7096,0.2902,570,960,45,True
BLUE DREAM,cafe,1,28,457,122,hơi đắt,https://www.tiktok.com/@nhamnhamnee/video/7638328243866635527,1,10.07,,Blue Dream Bread,ChIJAZleLZ4TcTER7yUD2MgHpkY,"14 Vạn Hạnh, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9623458,108.4440349,4.5,1266,2,0834 304 050,https://www.facebook.com/bluedreambread.saigon,OPERATIONAL,Thứ Hai: 08:30–22:00 | Thứ Ba: 08:30–22:00 | Thứ Tư: 08:30–22:00 | Thứ Năm: 08:30–22:00 | Thứ Sáu: 08:30–22:00 | Thứ Bảy: 08:30–22:00 | Chủ Nhật: 08:30–22:00,08:30,22:00,91.92307692307692,15.07,32.15,0.0014,0.7194,0.2886,510,1320,60,True
LÒ BÁNH CĂN ĐÀ LẠT,chợ quán,1,1754,83700,143800,ngon rẻ chấn động,https://www.tiktok.com/@didauofficial/video/7533457708364631314,1,20.12,,Bánh căn Lệ,ChIJgzlWiFsTcTER_QOgSR5Bh5I,"27/44 Yersin, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9422794,108.4506503,4.3,1622,2,0933 189 596,https://www.facebook.com/le.banhcan.5,OPERATIONAL,Thứ Hai: 06:30–15:30 | Thứ Ba: 06:30–15:30 | Thứ Tư: 06:30–15:30 | Thứ Năm: 06:30–15:30 | Thứ Sáu: 06:30–15:30 | Thứ Bảy: 06:30–15:30 | Chủ Nhật: 06:30–15:30,06:30,15:30,90.9090909090909,25.12,31.79,0.0043,0.7113,0.2871,390,930,45,True
phòng khách sạn,khách sạn,1,34,1329,39,,https://www.tiktok.com/@catanh.hotel/video/7638246646534458631,0,10.17,,Khách Sạn Dalat Palace,ChIJl9p2kTETcTERD2UK-Y4pL70,"2 Đ. Trần Phú, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9376173,108.4403766,4.4,1454,,0263 3825 444,https://www.dalatpalacehotel.com/,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,70.96774193548387,10.17,32.04,0.0,0.717,0.2868,0,,0,False
Dưới tán anh đào,cafe,1,35300,385800,19600,,https://www.tiktok.com/@duoitananhdao/video/7632578262715157767,1,83.88,,Quán cà phê Dưới Tán Anh Đào,ChIJm9IiEtcTcTERNsDv1eIoZA4,"29B Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66118, Việt Nam",11.9404545,108.4845469,4.5,798,2,0938 836 565,https://gox.life/,OPERATIONAL,Thứ Hai: 07:00–23:00 | Thứ Ba: 07:00–23:00 | Thứ Tư: 07:00–23:00 | Thứ Năm: 07:00–23:00 | Thứ Sáu: 07:00–23:00 | Thứ Bảy: 07:00–23:00 | Chủ Nhật: 07:00–23:00,07:00,23:00,87.72727272727273,88.88,30.08,0.0225,0.673,0.2827,420,1380,60,True
Lang Farm Center,địa điểm checkin,2,41514,2361800,242500,,https://www.tiktok.com/@du_lich_dalat/video/7508576445141208338 | https://www.tiktok.com/@ghiendalat_official/video/7535672971080371474,2,258.6,,Langfarm Store Langfarm Center,ChIJb97n8K9tcTER1DBTJJeCIUc,"1B Đường Hoàng Văn Thụ, Cam Ly - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.944506,108.4172414,5,169,,1900 9065,https://langfarm.com/,OPERATIONAL,Thứ Hai: 07:30–18:00 | Thứ Ba: 07:30–18:00 | Thứ Tư: 07:30–18:00 | Thứ Năm: 07:30–18:00 | Thứ Sáu: 07:30–18:00 | Thứ Bảy: 07:30–18:00 | Chủ Nhật: 07:30–18:00,07:30,18:00,69.56521739130434,307.69,25.68,0.0851,0.5746,0.2809,450,1080,30,True
Quán Cà Phê View,cafe,2,5153,605436,5777,,https://www.tiktok.com/@smiletuan/video/7171762443759275290 | https://www.tiktok.com/@littletown.dalat/video/7634114282900196626,1,75.33,,Đà Lạt Nights - Quán cà phê view thành phố,ChIJsx_cOhoTcTEREMfnZkiJ6FQ,"4 Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9259335,108.4453393,4.1,1420,,0862 961 579,https://www.facebook.com/Dalatnightscafe,OPERATIONAL,Thứ Hai: 06:00–00:00 | Thứ Ba: 06:00–00:00 | Thứ Tư: 06:00–00:00 | Thứ Năm: 06:00–00:00 | Thứ Sáu: 06:00–00:00 | Thứ Bảy: 06:00–00:00 | Chủ Nhật: 06:00–00:00,06:00,00:00,80.3061224489796,90.7,29.76,0.0231,0.666,0.2802,360,1440,60,True
Dream Garden Homestay,homestay,1,130900,854600,26000,,https://www.tiktok.com/@dreamgardenhomestay/video/7465903140534013185,1,226.36,,Dream Garden Homestay Cầu Đất,ChIJPz1JMtoXcTERfM4zefuA2Wo,"Đường Đất Làng, Trường Xuân, Xuân Trường - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.8918783,108.5465936,4.7,311,,0911 261 211,,OPERATIONAL,,,,99.0,231.36,26.99,0.0633,0.604,0.2796,,,0,False
Hồ Xuân Hương,thiên nhiên,1,34100,1500000,222100,,https://www.tiktok.com/@dichoimoingay/video/7474114773529939220,0,194.1,,Hồ Xuân Hương,ChIJL9Ajjd8ScTERNAPClxAZWEY,"Hồ Xuân Hương, Lâm Đồng, Việt Nam",11.9407361,108.4415404,4.7,360,,,,,,,,100,194.1,27.68,0.0526,0.6193,0.2793,,,90,True
Om Secret Hill Đà Lạt,homestay,2,50527,2155800,5782,,https://www.tiktok.com/@aihaohaohao/video/7565083466304408839 | https://www.tiktok.com/@shundidau_/video/7610461933954764053,2,211.8,,Ôm Secret Hill Đà Lạt,ChIJTd8fcMkTcTER2wuBZv6wUSM,"P3, 8 Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9252021,108.4458355,4.9,177,,0963 249 024,https://www.facebook.com/share/1X1K4WxN26/?mibextid=LQQJ4d,OPERATIONAL,,,,78.57142857142857,296.11,25.39,0.0818,0.5682,0.2763,,,0,False
Homestay A,homestay,4,54330,2001904,42900,,https://www.tiktok.com/@dihetdalat/video/7574036754475404551 | https://www.tiktok.com/@gacnhohomestay/video/7626078738307878164 | https://www.tiktok.com/@namkinhcan3004/video/7636356410216942866,2,136.12,,Andalat Homestay,ChIJoz_GjZoTcTER0HwjuzgycFE,"9A Hoàng Hoa Thám, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9412588,108.4653128,4.7,213,,0786 808 080,http://andalat.vn/,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,95.23809523809523,304.52,25.22,0.0842,0.5643,0.2763,0,,0,False
Bún bò Huế Thiên Trang,chợ quán,1,16900,625700,160800,,https://www.tiktok.com/@mr.cunghe/video/7129358708542393627,1,89.47,,Bún Bò Huế Thiên Trang 2,ChIJo-8FoTwTcTERW5ACYZGj9sg,"2b Hồ Tùng Mậu, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9364783,108.4457553,3.6,3246,,0263 3812 626,,OPERATIONAL,Thứ Hai: 06:00–16:00 | Thứ Ba: 06:00–16:00 | Thứ Tư: 06:00–16:00 | Thứ Năm: 06:00–16:00 | Thứ Sáu: 06:00–16:00 | Thứ Bảy: 06:00–16:00 | Chủ Nhật: 06:00–16:00,06:00,16:00,100,94.47,29.11,0.0241,0.6513,0.275,360,960,45,True
Đồi Đa Phú,thiên nhiên,1,293,35400,7950,,https://www.tiktok.com/@tinaonthegooo/video/7168542515551948059,1,13.83,,Đồi Đa Phú,ChIJTTfzNtltcTERonlU_OdpOyc,"Lang Biang - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9820625,108.4038125,4.5,887,,,,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,18.83,30.55,0.0025,0.6836,0.275,0,,90,True
Tiệm Cơm Niêu,chợ quán,2,22110,1523600,9135,59K,https://www.tiktok.com/@tiemcomnieunhala/video/7374044494146145544 | https://www.tiktok.com/@didalatcungtruc/video/7104962108843887899,2,133.7,,Cơm Niêu Việt Nam,ChIJq248NAATcTER66tefs6ONAY,"3H Nam Kỳ Khởi Nghĩa, street, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9416887,108.4359681,4.7,298,,0973 415 334,,OPERATIONAL,Thứ Hai: 09:00–22:00 | Thứ Ba: 09:00–22:00 | Thứ Tư: 09:00–22:00 | Thứ Năm: 09:00–22:00 | Thứ Sáu: 09:00–22:00 | Thứ Bảy: 09:00–22:00 | Chủ Nhật: 09:00–22:00,09:00,22:00,73.33333333333334,204.47,26.79,0.0556,0.5995,0.2732,540,1320,45,True
Langfarm Buffet,chợ quán,1,2914,261800,263300,,https://www.tiktok.com/@ghiendalat_official/video/7535672971080371474,0,39.09,,Langfarm Buffet (Chợ Đêm),ChIJsWNpWfYUcTERZWXKdjx8M18,"6 Đường Nguyễn Thị Minh Khai, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9417807,108.4376196,4.2,1108,,0263 3510 520,https://www.langfarm.com/,OPERATIONAL,Thứ Hai: 07:30–22:30 | Thứ Ba: 07:30–22:30 | Thứ Tư: 07:30–22:30 | Thứ Năm: 07:30–22:30 | Thứ Sáu: 07:30–22:30 | Thứ Bảy: 07:30–22:30 | Chủ Nhật: 07:30–22:30,07:30,22:30,93.94736842105263,39.09,29.45,0.0083,0.6589,0.2686,450,1350,45,True
Đèo Prenn,thiên nhiên,2,6603,162300,10300,,https://www.tiktok.com/@hoang.nguyen5696/video/7636784268684889365,2,42.83,,Đèo Prenn,ChIJha0iv0ITcTER2q6ws0Rsvvw,"Đèo Prenn, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9166667,108.45,4.7,486,,,,,,,,100,52.83,29.08,0.0122,0.6508,0.2677,,,90,True
1/2 Circle Coffee,cafe,3,5877,538451,76800,,https://www.tiktok.com/@duocroidithoi.sg/video/7387617478555258120 | https://www.tiktok.com/@hoaithuong420/video/7626258724960603412 | https://www.tiktok.com/@kim_luu1904/video/7446358616766041351,3,69.11,,1/2 Circle Coffee,ChIJk0kQJgATcTER5HQJIYAPqBw,"Hẻm 4 Đường Đặng Thái Thân, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.924712,108.4534609,4.5,510,,0907 232 279,,OPERATIONAL,Thứ Hai: 07:30–18:00 | Thứ Ba: 07:30–18:00 | Thứ Tư: 07:30–18:00 | Thứ Năm: 07:30–18:00 | Thứ Sáu: 07:30–18:00 | Thứ Bảy: 07:30–18:00 | Chủ Nhật: 07:30–18:00,07:30,18:00,100,104.72,28.06,0.0271,0.628,0.2674,450,1080,60,True
Quán ăn Bản Địa Đà Lạt,chợ quán,1,731,48500,5685,,https://www.tiktok.com/@quanngondalat/video/7460082988379049224,1,15.58,,Quán heo bản địa - Đà Lạt,ChIJde2JLkUTcTERnyt2AsZS6Mc,"Lô BL C4, KQH Phạm Hồng Thái, Xuân Hương - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9400866,108.4525427,4.9,387,,0773 650 632,https://1phutdalat.vn/,OPERATIONAL,Thứ Hai: 10:00–22:00 | Thứ Ba: 10:00–22:00 | Thứ Tư: 10:00–22:00 | Thứ Năm: 10:00–22:00 | Thứ Sáu: 10:00–22:00 | Thứ Bảy: 10:00–22:00 | Chủ Nhật: 10:00–22:00,10:00,22:00,77.41935483870968,20.58,29.21,0.003,0.6536,0.2632,600,1320,45,True
Quán ăn vặt Chiên,chợ quán,1,1866,63000,5685,,https://www.tiktok.com/@quanngondalat/video/7434372010249063698,0,18.17,,Quán ăn Chiêng,ChIJ0d93bDATcTERPXytyXAPgkU,"232 Đường Phù Đổng Thiên Vương, Lâm Viên - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9696856,108.443745,4.7,496,2,0263 6516 179,https://www.facebook.com/diemhentaynguyen,OPERATIONAL,Thứ Hai: 10:00–22:30 | Thứ Ba: 10:00–22:30 | Thứ Tư: 10:00–22:30 | Thứ Năm: 10:00–22:30 | Thứ Sáu: 10:00–22:30 | Thứ Bảy: 10:00–22:30 | Chủ Nhật: 10:00–22:30,10:00,22:30,83.87096774193549,18.17,29.18,0.0023,0.653,0.2626,600,1350,45,True
Tiệm cà phê Hoàng Hôn Chiều,cafe,1,50,900,64,,https://www.tiktok.com/@onenightstation/video/7551067372229102866,1,10.14,,Tiệm cà phê Hoàng Hôn Chiều,ChIJefpt7bcTcTERPpkCD7MToVw,"Dốc số 9, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9402089,108.5079402,4.1,1191,,0902 266 398,https://m.facebook.com/tiemcapheHoangHonChieu/,OPERATIONAL,Thứ Hai: 05:00–20:00 | Thứ Ba: 05:00–20:00 | Thứ Tư: 05:00–20:00 | Thứ Năm: 05:00–20:00 | Thứ Sáu: 05:00–20:00 | Thứ Bảy: 05:00–20:00 | Chủ Nhật: 05:00–20:00,05:00,20:00,100,15.14,29.04,0.0015,0.6499,0.2608,300,1200,60,True
