place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,video_caption,confidence_high,popularity_score,aliases,gmaps_name,gmaps_place_id,gmaps_address,lat,lng,gmaps_rating,gmaps_reviews_count,gmaps_price_level,gmaps_phone,gmaps_website,gmaps_status,opening_hours_text,open_time,close_time,fuzzy_score,tiktok_raw,gmaps_raw,tiktok_score_norm,gmaps_score_norm,attraction_score,open_min,close_min,visit_duration_min,include_in_route
Tiệm Cơm Hồi Đó,chợ quán,2,6561,299200,177300,,https://www.tiktok.com/@kuti20297/video/7570710409133542663,"Không gian thoáng mát, món ăn chất lượng, đến Đà Lạt mọi người chưa tìm được quán cơm trưa nào vừa ý, thì thử đến Tiệm Cơm Hồi Đó nha #dalatreview #dalatangi #monngondalat #learnontiktok #ancungtiktok ",2,56.48,,Tiệm cơm Hồi Đó,ChIJzzMXM1wTcTERTIdrsfz1Y34,"5 Lý Nam Đế, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.9581647,108.4390875,4.8,738,,0929 394 939,https://www.facebook.com/tiemcomhoido/,OPERATIONAL,Thứ Hai: 09:30–22:00 | Thứ Ba: 09:30–22:00 | Thứ Tư: 09:30–22:00 | Thứ Năm: 09:30–22:00 | Thứ Sáu: 09:30–22:00 | Thứ Bảy: 09:30–22:00 | Chủ Nhật: 09:30–22:00,09:30,22:00,100,66.48,31.71,0.0875,0.7094,0.3363,570,1320,45,True
Cơm Trưa,chợ quán,1,6023,354800,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7514631840213454088,Quán Cơm Trưa Với Các Món Ăn Đặc Sản Của Người Đồng Bào Ngon Bình Dân Ngay Trung Tâm Đà Lạt#thodandalad#dalat#comtrua#quancomdalat#mocbbq#mocquan#checkindalat# ,1,51.5,Quán Cơm Trưa,Quán 2ơi! - Cơm Trưa Đà Lạt,ChIJB3n-pf0TcTERlqUh5USRBYw,"14bis Đường Mai Hoa Thôn, Xuân Hương - Đà Lạt, Lâm Đồng 66109, Việt Nam",11.9512076,108.4361705,4.9,590,,0396 727 573,https://www.facebook.com/bialanhcomtruua2oi/,OPERATIONAL,Thứ Hai: 10:00–15:00 | Thứ Ba: 10:00–15:00 | Thứ Tư: 10:00–15:00 | Thứ Năm: 10:00–15:00 | Thứ Sáu: 10:00–15:00 | Thứ Bảy: 10:00–15:00 | Chủ Nhật: 10:00–15:00,10:00,15:00,79.0,56.5,31.27,0.0717,0.6997,0.3229,600,900,45,True
Khu du lịch Fresh Garden,địa điểm checkin,1,4403,66600,419100,,https://www.tiktok.com/@haichi121/video/7630148931460074760,Khu du lịch Fresh Garden - địa điểm vui chơi cực hấp dẫn cho các gia đình có bé nhỏ #nhahana #freshgarden #freshzoo #freshplayground #dalat ,1,21.06,,Khu du lịch Fresh Garden Dalat,ChIJzXuSUrZtcTERMCq6MmWKNTg,"90B Vạn Thành, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9476933,108.4090729,4.2,3440,,0908 974 949,https://freshdalat.vn/,OPERATIONAL,Thứ Hai: 07:30–17:30 | Thứ Ba: 07:30–17:30 | Thứ Tư: 07:30–17:30 | Thứ Năm: 07:30–17:30 | Thứ Sáu: 07:30–17:30 | Thứ Bảy: 07:30–17:30 | Chủ Nhật: 07:30–17:30,07:30,17:30,100,26.06,34.2,0.0234,0.7653,0.3202,450,1050,30,True
3 tiệm cà phê viral ở Đà Lạt,cafe,2,287,17609,789600,,https://www.tiktok.com/@nhandian/video/7635214351682522388 | https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165,"Review chân thật 3 tiệm cà phê viral ở Đà Lạt nè, liệu có bị ""overrated"" quá hay không? #dalat #dalatreview #dalatcoffee #nhandian #fyp ",1,11.52,,Tiệm cà phê Cheo veooo,ChIJ-xejkDsTcTERpFMfI6ZLr5A,"116 Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9381566,108.4823005,4.5,1862,2,0921 297 299,https://www.facebook.com/cheoveooo/,OPERATIONAL,Thứ Hai: 07:30–20:00 | Thứ Ba: 07:30–20:00 | Thứ Tư: 07:30–20:00 | Thứ Năm: 07:30–20:00 | Thứ Sáu: 07:30–20:00 | Thứ Bảy: 07:30–20:00 | Chủ Nhật: 07:30–20:00,07:30,20:00,65.11627906976744,27.05,33.88,0.0249,0.7582,0.3182,450,1200,60,True
Dưới tán anh đào,cafe,2,16020,161933,19600,,https://www.tiktok.com/@duoitananhdao/video/7639696857463131400,"Mọi người đi du lịch Đà Lạt, ghé Dưới tán anh đào nghe nhạc acoustic nhé 🫶

- Đêm nhạc có lịch diễn mỗi ngày (chỉ nghỉ ngày thứ 4).
- Thời gian từ 19:30-21:30 
- KH.ÔNG BÁ.N VÉ - KH.ÔNG PHỤ THU

📞 Hotline: 093.883.6565

📍Dưới tán anh đào: 29B Hùng Vương, P.Xuân Trường - Đà Lạt (đối diện số 178 Hùng Vương)
🚘 Có bãi đậu xe ô tô và xe máy ngay cổng chính
#acousticdalat #duoitananhdao #dalatdidau #caphedalat #trendingtiktok ",2,52.21,,Quán cà phê Dưới Tán Anh Đào,ChIJm9IiEtcTcTERNsDv1eIoZA4,"29B Đ. Hùng Vương, Xuân Trường - Đà Lạt, Lâm Đồng 66118, Việt Nam",11.9404545,108.4845469,4.5,794,2,0938 836 565,https://gox.life/,OPERATIONAL,Thứ Hai: 07:00–23:00 | Thứ Ba: 07:00–23:00 | Thứ Tư: 07:00–23:00 | Thứ Năm: 07:00–23:00 | Thứ Sáu: 07:00–23:00 | Thứ Bảy: 07:00–23:00 | Chủ Nhật: 07:00–23:00,07:00,23:00,87.72727272727273,62.21,30.05,0.0807,0.6724,0.3174,420,1380,60,True
Bánh canh cua Luxury,chợ quán,1,13000,717000,177300,,https://www.tiktok.com/@kuti20297/video/7463821415771278610,Bánh canh cua Luxury ngon nhất Đà Lạt ✨ #banhcanh #food #dalat #banhcanhcua #minhlakuti #diadiemanuong ,1,94.7,,Bánh Canh Cua Luxury Đà Lạt,ChIJjWfSoh0TcTERpCcYpm_0fCs,"Lô 1A Khu Quy Hoạch Hoàng Văn Thụ, Xuân Hương - Đà Lạt, Lâm Đồng 66115, Việt Nam",11.9378906,108.4291785,4.4,356,,0966 522 955,,OPERATIONAL,Thứ Hai: 06:30–21:00 | Thứ Ba: 06:30–21:00 | Thứ Tư: 06:30–21:00 | Thứ Năm: 06:30–21:00 | Thứ Sáu: 06:30–21:00 | Thứ Bảy: 06:30–21:00 | Chủ Nhật: 06:30–21:00,06:30,21:00,100,99.7,25.86,0.1402,0.5787,0.3156,390,1260,45,True
Mai Anh Đào,địa điểm checkin,1,49800,1700000,10300,,https://www.tiktok.com/@.lt.3605/video/7601868238388989191,Đà Lạt chiều nay 1-2 rực rỡ Mai Anh Đào ❤️#hoxuanhuongdalat #djimavic4pro #fypシ゚ #foryou #canhdepdalat ,1,229.8,,MAI ANH ĐÀO,ChIJ8wiuYlETcTERvXAuABT8c0M,"7 Đường Lộc Quý, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9465493,108.5164391,4.7,10,,,https://giaiphadotpha.vn/,OPERATIONAL,,,,100,234.8,11.27,0.3545,0.2522,0.3135,,,30,True
restaurant, nhà hàng,1,515,54800,20900,,https://www.tiktok.com/@goldiegallowaytravels/video/7332136850510859553,"We found the best restaurant in Da Lat, Vietnam 🙏🏼
.
#travellife #backpackinglife #dalatvietnam #foodporn #fyp ",0,16.0,,Tiệm ăn Đà Lạt Phố - Restaurant,ChIJMzXtGY4TcTERzanixs08VxE,"38 Đường Tăng Bạt Hổ, Xuân Hương - Đà Lạt, Lâm Đồng 66100, Việt Nam",11.9442842,108.4348971,4.7,1472,,0327 606 839,https://vietchallenge.com/restaurant,OPERATIONAL,Thứ Hai: 09:30–21:30 | Thứ Ba: 09:30–21:30 | Thứ Tư: 09:30–21:30 | Thứ Năm: 09:30–21:30 | Thứ Sáu: 09:30–21:30 | Thứ Bảy: 09:30–21:30 | Chủ Nhật: 09:30–21:30,09:30,21:30,77.5,16.0,34.29,0.0074,0.7672,0.3113,570,1290,60,True
1/2 Circle Coffee,cafe,1,5520,536300,76700,,https://www.tiktok.com/@duocroidithoi.sg/video/7387617478555258120,"Cafe tone đen style Thái Lan lên hình cực ấn tượng. Quán 1/2 Circle Coffee✨

#duocroidithoisg #cafedalat #cafe #cafesongao #dalat #xuhuong #cafetiktok ",1,69.15,,1/2 Circle Coffee,ChIJk0kQJgATcTER5HQJIYAPqBw,"Hẻm 4 Đường Đặng Thái Thân, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.924712,108.4534609,4.5,511,,0907 232 279,,OPERATIONAL,Thứ Hai: 07:30–18:00 | Thứ Ba: 07:30–18:00 | Thứ Tư: 07:30–18:00 | Thứ Năm: 07:30–18:00 | Thứ Sáu: 07:30–18:00 | Thứ Bảy: 07:30–18:00 | Chủ Nhật: 07:30–18:00,07:30,18:00,100,74.15,28.07,0.0997,0.6281,0.311,450,1080,60,True
Tiệm Cơm Gia Đình Ngon,chợ quán,1,19500,2100000,242400,bình dân,https://www.tiktok.com/@du_lich_dalat/video/7325313221819108610,Tiệm Cơm Gia Đình Ngon Bình Dân Nằm Ngay Trung Tâm Đà Lạt#thodandalad#review#reviewdalat#quananngondalat#comtrua#tiemcomavu# ,1,239.5,,Quán Cơm Gia Đình,ChIJP75VU6ATcTERF7BquNCREUY,"70b Đ. Bùi Thị Xuân, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.954052,108.440315,4,11,,,,OPERATIONAL,Thứ Hai: Đóng cửa | Thứ Ba: Đóng cửa | Thứ Tư: Đóng cửa | Thứ Năm: Đóng cửa | Thứ Sáu: Đóng cửa | Thứ Bảy: Đóng cửa | Chủ Nhật: Mở cửa cả ngày,00:00,00:00,71.7948717948718,244.5,9.94,0.3698,0.2224,0.3109,0,0,45,True
đồi chè cầu đất,thiên nhiên,1,101,2373,959,,https://www.tiktok.com/@thch.i.trekk/video/7635134436803218709,Săn mây đồi chè Cầu Đất 2/5 #sanmay #sanmaydalat #dalat #doichecaudat #viralvideo ,1,10.34,,Đồi Chè Cầu Đất,ChIJw3brp90WcTERTv8rLO16P2U,"Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.8790807,108.5605075,4.4,2383,,,,OPERATIONAL,Thứ Hai: 06:00–18:00 | Thứ Ba: 06:00–18:00 | Thứ Tư: 06:00–18:00 | Thứ Năm: 06:00–18:00 | Thứ Sáu: 06:00–18:00 | Thứ Bảy: 06:00–18:00 | Chủ Nhật: 06:00–18:00,06:00,18:00,100,15.34,34.22,0.0064,0.7656,0.3101,360,1080,90,True
The Manor Villas Dalat,khách sạn,1,6045,428600,13400,,https://www.tiktok.com/@resortdalat/video/7409122532223208711,"Với view này mà có thêm… thì tuyệt!
———
📍The Manor Villas Dalat
———
#dalat #khachsandep #khachsantrungtamdalat #khachsansangtrong #resort #resortdalat #resortdep #chill #villadalat #khachsanviewdepdalat #khachsandalat #chilldalat #dalatchill #vibes ",1,58.91,,The Manor Villas Da Lat,ChIJDf5IwMtscTERT3gMccM9T-4,"6B Đường Đống Đa, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.925351,108.444924,4.4,733,,0263 3872 872,https://www.facebook.com/TheManorVillasDaLat,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,63.91,29.03,0.0834,0.6496,0.3099,0,,0,False
Quán Nguyễn Gia,cafe,1,12200,685300,5678,,https://www.tiktok.com/@quanngondalat/video/7417303437462768904,"📍Phở gà trộn, miến gà trộn Đà Lạt quán Nguyễn Gia 
———
Hợp khẩu vị quá chừng hà, vị sẽ thiên về trong miền Nam 1 xíu nha!
#quanngondalat #dalat #reviewdalat #dalatreview #xuhuong #photron #miengtron #miengatron #phogatron #anngon #dalattrip #dalatfood ",1,90.73,,Phở Nguyễn Gia,ChIJt6jBUr8TcTERf-L4UKgWOak,"33 Ngô Quyền, Cam Ly - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.951338,108.4300999,4.1,446,,0393 037 864,,OPERATIONAL,"Thứ Hai: 06:00–13:30, 16:00–20:00 | Thứ Ba: 06:00–13:30, 16:00–20:00 | Thứ Tư: 06:00–13:30, 16:00–20:00 | Thứ Năm: 06:00–13:30, 16:00–20:00 | Thứ Sáu: 06:00–13:30, 16:00–20:00 | Thứ Bảy: 06:00–13:30, 16:00–20:00 | Chủ Nhật: 06:00–13:30, 16:00–20:00",06:00,13:30,75.86206896551724,95.73,25.02,0.1339,0.5598,0.3043,360,810,60,True
Hoa Cẩm Tú Cầu,cafe,1,2359,71300,9858,,https://www.tiktok.com/@ama.vietnam.blog/video/7613373066021735687,"📍Address: Hoa Cẩm Tú Cầu, Phường 3, Đà Lạt, Lâm Đồng, Vietnam - Rừng Mơ.

Located by the river and surrounded by nature, this beautiful coffee shop offers a chill vibe that feels truly unreal. If you travel to Dalat, Vietnam, don’t miss this place.

Enjoy! 😃

#vietnamesecoffeeshop #vietnamesecafe #dalatcoffeeshop #dalatcafe #vietnamesecoffee",1,19.49,,Vườn Hoa Cẩm Tú Cầu,ChIJ50x58zMScTERbfECwVkKQqI,"Đường Tập Đoàn 7, Trại Mát, Xuân Trường - Đà Lạt, Lâm Đồng, Việt Nam",11.9459911,108.5130737,4.3,1935,,0983 814 396,,OPERATIONAL,Thứ Hai: 07:00–18:00 | Thứ Ba: 07:00–18:00 | Thứ Tư: 07:00–18:00 | Thứ Năm: 07:00–18:00 | Thứ Sáu: 07:00–18:00 | Thứ Bảy: 07:00–18:00 | Chủ Nhật: 07:00–18:00,07:00,18:00,99.84848484848484,24.49,32.54,0.0209,0.7282,0.3038,420,1080,60,True
Tiệm cơm Mêli Đà Lạt,quán ăn,1,1091,107400,5678,,https://www.tiktok.com/@quanngondalat/video/7446651507530845447,"Tiệm cơm gia đình Đà Lạt chuẩn cơm mẹ nấu. Lên Đà Lạt muốn tìm quán cơm set menu thì có thể ghé qua quán cơm gia đình lâu đời này nha!
📍Tiệm cơm Mêli Đà Lạt
#quanngondalat #tiemcommeli #quancomgiadinh #comgiadinhdalat #dalatangi #dalatangingon #dalatreview #reviewdalat #dalatfood #dalattrip #dalat #comnhangonnhat #chuancommenau #tiemcommelidalat #setmenu #lunchsetmenu ",1,21.83,,Tiệm cơm Mêli,ChIJ3ZIQSr8TcTER-GnZra5PKO8,"Hẽm 288, Đ. Bùi Thị Xuân, Xuân Hương - Đà Lạt, Lâm Đồng 660000, Việt Nam",11.9538396,108.4415793,4.5,1292,2,0888 869 333,https://www.facebook.com/tiemcommelidalat,OPERATIONAL,Thứ Hai: 11:00–00:00 | Thứ Ba: 00:00–20:00 | Thứ Tư: 11:00–20:00 | Thứ Năm: 11:00–20:00 | Thứ Sáu: 11:00–20:00 | Thứ Bảy: 11:00–20:00 | Chủ Nhật: 11:00–20:00,11:00,20:00,100,26.83,32.24,0.0246,0.7214,0.3033,660,1200,45,True
Primavera Italian Restaurant,cafe,1,366,24800,7572,,https://www.tiktok.com/@avokliv/video/7617686854049058070,"Found the best pizza in Vietnam🇻🇳🇮🇹 Primavera Italian Restaurant 📍Da Lat 

Address: 54/7 Phan Đình Phùng, Phường 1, Đà Lạt

#miraglorycoffee #miraglory #vietnam #lifeinvietnam #italyinvietnam ",1,12.85,,Primavera Italian Restaurant,ChIJ_cUHekUTcTERHJcmjYn1Vc4,"54/7 Phan Đình Phùng, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9437904,108.434288,4.3,2250,2,0263 3582 018,http://www.primaveradalat.com/,OPERATIONAL,Thứ Hai: Đóng cửa | Thứ Ba: 12:00–22:00 | Thứ Tư: 12:00–22:00 | Thứ Năm: 12:00–22:00 | Thứ Sáu: 12:00–22:00 | Thứ Bảy: 12:00–22:00 | Chủ Nhật: 12:00–22:00,12:00,22:00,100,17.85,33.19,0.0103,0.7427,0.3033,720,1320,60,True
Khu vườn cà phê,địa điểm checkin,2,2052,50218,6565,,https://www.tiktok.com/@kunlogg/video/7590354050130939156 | https://www.tiktok.com/@khuvuonmuahe/video/7529876407002959122,"Khu vườn cà phê sáng iu thích của toiiii ☕️🫂
#vlog #kunlog #dalat ",2,16.77,,Khu Vườn Mùa Hè,ChIJ5QlCZ6MTcTERODxqPibUdc0,"27 Hẻm, 1 Đường Đặng Thái Thân, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9317664,108.4527627,4.6,846,2,0931 864 961,,OPERATIONAL,Thứ Hai: 08:00–18:00 | Thứ Ba: 08:00–18:00 | Thứ Tư: 08:00–18:00 | Thứ Năm: 08:00–18:00 | Thứ Sáu: 08:00–18:00 | Thứ Bảy: 08:00–18:00 | Chủ Nhật: 08:00–18:00,08:00,18:00,66.66666666666667,37.07,31.01,0.0408,0.6939,0.3021,480,1080,30,True
S-Chill Home Đà Lạt,homestay,1,15200,1100000,140300,,https://www.tiktok.com/@minhmoonha/video/7394486242219478279,"Homestay Đà Lạt có Bồn Tắm View xịn xò sống ảo, tối chill xem phim nữa nha 🔥🔥🔥 S-Chill Home Đà Lạt #mcv #haminhmoon #dalatreview #homestaydalat #homestayviewdep #dalathomestay #view #reviewhomestay #bontam #dalat #tiktokcommunityvn #monngondalat ",1,135.2,,S-Chill Home,ChIJ_cnvegxtcTER-0xPIFKGGj4,"Vạn Thành, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.9457723,108.4135474,4,149,,0932 014 007,https://www.facebook.com/schillhome,OPERATIONAL,,,,100,140.2,20.04,0.2044,0.4485,0.302,,,0,False
New Light Coffee,cafe,1,796,60300,207600,,https://www.tiktok.com/@didalatcungtruc/video/7633363595354590485,"New Light Coffee Đà Lạt, tiệm cà phê ăn sáng xinh ở trung tâm, chụp ảnh đẹp, view chill #newlightcoffeedalat #dalatcoffee #reviewdalat #didalatcungtruc #isbtalents ",1,16.83,New Light Coffee Đà Lạt,New Light Coffee Đà Lạt,ChIJ-WkCxyMTcTER2OdNh4GNxZw,"3 bis Hoàng Hoa Thám, Đà Lạt, Lâm Đồng 66000, Việt Nam",11.9409927,108.4642694,4.6,1173,,0917 937 168,https://www.facebook.com/newlightcoffee10,OPERATIONAL,Thứ Hai: 00:30–22:00 | Thứ Ba: 06:30–22:00 | Thứ Tư: 06:30–22:00 | Thứ Năm: 06:30–22:00 | Thứ Sáu: 06:30–22:00 | Thứ Bảy: 06:30–22:00 | Chủ Nhật: 06:30–22:00,06:30,22:00,100,21.83,32.51,0.0167,0.7275,0.301,390,1320,60,True
Đồi cỏ hồng,địa điểm checkin,1,12100,313000,42900,,https://www.tiktok.com/@dihetdalat/video/7579981746721148168,Check-in đồi cỏ hồng mộng mơ tại Đà Lạt 📸 #dihetdalat #dalat #cohong #doicohong #doicohongdalat ,1,53.4,,Đồi Cỏ Hồng Đà Lạt,ChIJgRnIjZtycTERGEICDOZETo0,"X9XV+38W, Lang Biang - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9977266,108.393338,4.4,590,,,,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,58.4,28.08,0.0747,0.6283,0.2961,0,,30,True
Tiệm Cafe Nhớ Hoài,cafe,1,62,1531,116,,https://www.tiktok.com/@langthanglk/video/7552701224886275336,"TIỆM CAFE NHỚ HOÀI - Là một góc nhỏ giữa thành phố Đà Lạt ồn ào - nó nằm ngay dưới con dóc nhỏ nơi có những bậc cầu thang đặc trưng của những con dóc Đà Lạt - là nơi Trịnh Công Sơn đã đến với MoChico nàng thơ của ông trong những sáng tác về Đà Lạt về giấc sơ sương - hãy đến để trải nghiệm nổi Hoài cổ mộc mạc của 1 quán cafe góc đường.
#cafenhohoai #đalat #langthangđườngphố #khampha #xuhuongtiktok ",1,10.22,,Cà phê Tiệm may Nhớ Hoài,ChIJgabtscoTcTERrc2I0kvV6sM,"9 Trần Hưng Đạo, Xuân Hương - Đà Lạt, Lâm Đồng 670000, Việt Nam",11.9371712,108.4485328,4.8,889,,0933 079 857,https://www.facebook.com/caphetiemmaynhohoaia,OPERATIONAL,Thứ Hai: 06:00–22:00 | Thứ Ba: 06:00–22:00 | Thứ Tư: 06:00–22:00 | Thứ Năm: 06:00–22:00 | Thứ Sáu: 06:00–22:00 | Thứ Bảy: 06:00–22:00 | Chủ Nhật: 06:00–22:00,06:00,22:00,71.42857142857143,15.22,32.6,0.0062,0.7294,0.2955,360,1320,60,True
Hương Quán,cafe,1,658,239100,84,,https://www.tiktok.com/@huongquandalat/video/7327856661815627015,Hương Quán có menu ăn trưa hay tối đều hợp lý #huongquan #huongquandalat #quanandalat #gadapludalat #antruadalat ,1,34.57,,Hương Quán Đà Lạt,ChIJt7_PtjltcTERUnl_BuvSlLc,"47B Trần Bình Trọng, Cam Ly - Đà Lạt, Lâm Đồng 67000, Việt Nam",11.9431031,108.4253607,4.1,1226,2,0896 133 299,,OPERATIONAL,Thứ Hai: 09:00–22:00 | Thứ Ba: 09:00–22:00 | Thứ Tư: 09:00–22:00 | Thứ Năm: 09:00–22:00 | Thứ Sáu: 09:00–22:00 | Thứ Bảy: 09:00–22:00 | Chủ Nhật: 09:00–22:00,09:00,22:00,100,39.57,29.16,0.0448,0.6525,0.2879,540,1320,60,True
Rừng Giao Hưởng,địa điểm checkin,1,3669,207000,8923,,https://www.tiktok.com/@runggiaohuong/video/7620294626150288660,"Ăn trưa ở Rừng Giao Hưởng kiểu: no bụng + no mắt + chill hết nấc 🌿

Đồ ăn nóng hổi, view thì “đỉnh của chóp” 

📍Nhớ ghé Rừng ăn trưa bạn nhé!

#runggiaohuong #cafedalat #dulichdalat #dalat #checkindalat ",1,34.37,,Rừng Giao Hưởng,ChIJEbceFtFtcTEREenDLhkzw_w,"1/3 Lâm Sinh, Cam Ly - Đà Lạt, Lâm Đồng, Việt Nam",11.941282,108.4064008,4.6,501,,0905 120 668,https://www.runggiaohuong.com/,OPERATIONAL,Thứ Hai: 08:00–17:00 | Thứ Ba: 08:00–17:00 | Thứ Tư: 08:00–17:00 | Thứ Năm: 08:00–17:00 | Thứ Sáu: 08:00–17:00 | Thứ Bảy: 08:00–17:00 | Chủ Nhật: 08:00–17:00,08:00,17:00,100,39.37,28.61,0.0445,0.6401,0.2827,480,1020,30,True
Quán cafe Cô Long,cafe,1,15200,756700,443900,110 k,https://www.tiktok.com/@bossnews.official/video/7628542421235666196,"Kiếm tiền gặp kiếm chuyện: Quán cafe Cô Long trên Đà Lạt bất ngờ bị nam du khách bóc phốt khinh người, bán 110 k cho một ly nước nhưng khách gọi thì làm lơ. CĐM đang nghi ngờ khách hàng này do quán bên cạnh thuê tới để phá quán #cafedalat #dalat #colongdalat #trending #bossnews ",1,100.87,,Cafe Long Hoa,ChIJJ7COzcMScTERIm0yWTtV9BY,"59 Vạn Hạnh, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.9641656,108.4481011,4.7,91,,0263 3553 685,,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,66.66666666666667,105.87,21.25,0.15,0.4755,0.2802,0,,60,True
Pasta Fresca - Taste of Italy,cafe,1,3907,337700,1182,,https://www.tiktok.com/@pastabperdb/video/7586908704109350165,"Nếu muốn ăn pizza Ý thật sự... Hãy đến Pasta Fresca - Taste of Italy in Dalat! 🇮🇹
Chúng tôi cam kết: Lò củi thật, Chef Ý thật, hương vị Naples thật! Không phải trải nghiệm ""na ná""! ✨

#PastaFrescaDalat #viral #TasteOfItaly #DalatItalian #PizzaLoCui   ",1,47.68,,Pasta Fresca Da Lat,ChIJT3RAYAsTcTERNK3JwmKaavQ,"BL10, KQH Yersin, Ward 9, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",11.9468834,108.4550008,4.8,269,,0969 145 670,https://pastafrescasaigon.com/,OPERATIONAL,Thứ Hai: 10:30–22:00 | Thứ Ba: 10:30–22:00 | Thứ Tư: 10:30–22:00 | Thứ Năm: 10:30–22:00 | Thứ Sáu: 10:30–22:00 | Thứ Bảy: 10:30–22:00 | Chủ Nhật: 10:30–22:00,10:30,22:00,76.53846153846155,52.68,26.87,0.0656,0.6013,0.2799,630,1320,60,True
chợ mới Đà Lạt,chợ quán,1,21500,538200,207600,,https://www.tiktok.com/@didalatcungtruc/video/7606909036549688597,Ăn vặt khoai siêu dài và kem siêu sầu ở khu chợ mới Đà Lạt #anvatdalat #didalatcungtruc #isbtalents #reviewdalat #dalatreview ,1,85.32,,Chợ Mới Đà Lạt,ChIJz_bctigTcTERqSmbkab208Y,"Phan Bội Châu, Chợ mới center tần 2, Xuân Hương - Đà Lạt, Lâm Đồng, Việt Nam",11.9440837,108.4380385,4.1,259,,,http://vikingfashion.vn/,OPERATIONAL,Thứ Hai: Mở cửa cả ngày | Thứ Ba: Mở cửa cả ngày | Thứ Tư: Mở cửa cả ngày | Thứ Năm: Mở cửa cả ngày | Thứ Sáu: Mở cửa cả ngày | Thứ Bảy: Mở cửa cả ngày | Chủ Nhật: Mở cửa cả ngày,00:00,,100,90.32,22.8,0.1253,0.5101,0.2792,0,,45,True
Miền Du Mục,cafe,1,2038,113000,1838,"100,000 vietnamese dong ($3.80USD)",https://www.tiktok.com/@ericgoesto/video/7523077765306895646,"The best café in Da Lat, Vietnam 🇻🇳 is a MUST visit!

 📍Miền Du Mục
The entrance fee is 100,000 vietnamese dong ($3.80USD) and it comes with a coffee/drink of your choice. Its perfect for Instagram pictures 📸.

Don't forget to wear your best outfit ✨️ 

See you in Vietnam 😉

#MiềnDuMục #vietnamcafe #dalat #cafedalat #dalatvietnam #vietnamtravel #vietnamtrip  #vietnamese ",1,23.34,,Miền Du Mục,ChIJCxXHSAATcTER8dIMRnsMoJM,"Đường Lâm Văn Thạnh, Đà Lạt, Lâm Đồng, Việt Nam",11.940508,108.4848853,4.3,922,,,,OPERATIONAL,Thứ Hai: 05:00–21:00 | Thứ Ba: 05:00–21:00 | Thứ Tư: 05:00–21:00 | Thứ Năm: 05:00–21:00 | Thứ Sáu: 05:00–21:00 | Thứ Bảy: 05:00–21:00 | Chủ Nhật: 05:00–21:00,05:00,21:00,100,28.34,29.36,0.027,0.6569,0.279,300,1260,60,True
