place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases
Tiệm cơm Mêli Đà Lạt,chợ quán,1,1091,107400,5685,,https://www.tiktok.com/@quanngondalat/video/7446651507530845447,1,21.83,
Cầu Đất,thiên nhiên,2,201,15641,56900,,https://www.tiktok.com/@ducdodalat/video/7294170018793737479,2,21.77,
Tiệm Trà Thông Mơ,cafe,1,1036,107000,25300,,https://www.tiktok.com/@dicungdalat/video/7634466778566888712,1,21.74,
Nhà Của Thông,địa điểm checkin,1,1656,100600,25300,,https://www.tiktok.com/@dicungdalat/video/7628756995616607506,1,21.72,
6 con dốc,địa điểm checkin,1,1781,99300,42900,,https://www.tiktok.com/@dihetdalat/video/7549544110693174536,1,21.71,
Cafe Chill,cafe,1,1087,105600,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7492225663596760328,0,21.65,
Tiệm cf Nàng Dalat,cafe,1,1575,97000,23900,,https://www.tiktok.com/@tiemcafenangdalat/video/7418937812419988743,1,21.27,
Dalat's Cafe,cafe,2,427,7206,3272,,https://www.tiktok.com/@lou502city/video/7625401545194065183,1,21.15,
Thác Lien Khuong,thiên nhiên,1,1094,97800,8227,,https://www.tiktok.com/@dalatcungtico/video/7234122283558767877,1,20.87,
Chợ Đà Lạt,chợ quán,1,1967,88800,250,siêu rẻ HSSV,https://www.tiktok.com/@ngotdichoi/video/7587357211525926164,1,20.85,
Cafe Toi Den,cafe,2,347,4831,4952,,https://www.tiktok.com/@diemthuynguyen_1979/video/7450640480565464338,2,20.83,Caffe Vườn Địa Đàng
Quán lẩu gà ớt hiểm Tụt nướng,chợ quán,2,44,4071,2300,,https://www.tiktok.com/@tutoidalat/video/7553478402427145480,2,20.45,Tiệm lẩu gà ớt hiểm
lẩu gà lang biang,chợ quán,1,3194,71800,202200,150-300 cành,https://www.tiktok.com/@longlongneee/video/7558069521387441415,1,20.37,
Villa sát Hồ Xuân Hương,homestay,1,1032,92500,6591,,https://www.tiktok.com/@locvilladalat/video/7551782935750479124,1,20.28,
Tiệm cà phê nhà của Thông Đà Lạt,cafe,1,1186,90900,482300,,https://www.tiktok.com/@ngocduy_diachianuong/video/7602115620703833365,1,20.28,
Cà phê Vùng Ngoại Ô Đà Lạt,cafe,2,33,1048,3439,,https://www.tiktok.com/@sanmayvungngoaio/video/7638278348048698642,2,20.14,
LÒ BÁNH CĂN ĐÀ LẠT,chợ quán,1,1754,83700,143800,ngon rẻ chấn động,https://www.tiktok.com/@didauofficial/video/7533457708364631314,1,20.12,
Vibes Boutique Hotel Dalat,khách sạn,2,12,651,144,,https://www.tiktok.com/@vibesboutiquehoteldalat/video/7633607362175159573,2,20.08,
Quán Cơm Đà Lạt Ngon Như Cơm Mẹ Nấu,chợ quán,1,1406,84300,242400,,https://www.tiktok.com/@du_lich_dalat/video/7396907489075252487,1,19.84,
Quán mẹ con Huế,chợ quán,1,1472,80400,4487,,https://www.tiktok.com/@meconhueodalat/video/7624002766230342933,0,19.51,
Quán Cà phê Hoa Xương Rồng,cafe,1,1977,75100,184,,https://www.tiktok.com/@caphedalat01/video/7414005832070860040,1,19.49,
Vũ Đìêng Gió Coffee,cafe,1,324,88400,4789,,https://www.tiktok.com/@vudieugio/video/7445903806765763841,0,19.16,
Rừng Mơ,cafe,1,2284,68200,9736,,https://www.tiktok.com/@ama.vietnam.blog/video/7613373066021735687,1,19.1,
Tiệm cơm Bình Yên,quán ăn,1,2407,64300,302600,,https://www.tiktok.com/@chidichilll/video/7607257270879128839,1,18.84,
Bếp Hứa Gia,nhà hàng,1,1090,77500,14600,,https://www.tiktok.com/@dienodalat.py/video/7630321185460440338,1,18.84,
Airdream Coffee Dalat,cafe,1,472,81100,184,,https://www.tiktok.com/@caphedalat01/video/7451922064589606152,1,18.58,
Quán ăn vặt Đà Lạt,chợ quán,1,2144,61600,5685,,https://www.tiktok.com/@quanngondalat/video/7522764403435982088,1,18.3,
Ga49 Dalat,cafe,1,3075,52200,1332,,https://www.tiktok.com/@checkindalat24h/video/7632297555413437704,1,18.3,
Quán cà phê mới toanh,cafe,1,1336,69300,109700,,https://www.tiktok.com/@mc_quangtamm/video/7385911460192390417,0,18.27,
The Lam,chợ quán,1,784,74700,2125,80k,https://www.tiktok.com/@thelam35lytutrong/video/7564221039358561544,1,18.25,
Quán ăn vặt Chiên,chợ quán,1,1866,63000,5685,,https://www.tiktok.com/@quanngondalat/video/7434372010249063698,0,18.17,
Gạch Since 1988 Cafe,cafe,1,1608,60200,555,,https://www.tiktok.com/@haannday/video/7631923500042800392,1,17.63,
Thác Đa Lat,thiên nhiên,1,1506,60600,26700,,https://www.tiktok.com/@ducdodalat/video/7609615653535747335,1,17.57,
Bún bò An Cựu,chợ quán,1,329,72300,33500,,https://www.tiktok.com/@lacaphee/video/7632515240151747858,1,17.56,
Kiosk khu tổ hợp chợ mới,chợ quán,1,1463,56700,2793,,https://www.tiktok.com/@hi.girl.beaute/video/7592585190082399496,1,17.13,
Quán cf đón hoàng hôn,cafe,1,1250,57800,336100,,https://www.tiktok.com/@lulureview_/video/7605923721500544263,1,17.03,
Homestay Săn Mây,homestay,1,893,61000,3626,giá,https://www.tiktok.com/@uttieu.homestaydalat/video/7637823397933632776,1,16.99,
Coffee farm,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95,
Canyoning,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95,
Night market,chợ quán,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,
Mongo land,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,
Mario kart irl,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,
Crazy house,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,
Maze bar,cafe,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,
Warm tofu,khác,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,0,16.95,
Waterfall hopping,thiên nhiên,1,935,60100,71100,,https://www.tiktok.com/@two_peas_abroad/video/7549937570201816342,1,16.95,
Lách Tách,chợ quán,1,3107,38400,178,55ka/ người,https://www.tiktok.com/@lachtachdalat/video/7431492075218128146,1,16.95,
Đôi Đũa Có Cơm Niêu,quán ăn,1,1550,52700,4250,,https://www.tiktok.com/@doiduadalat/video/7503154580214091016,0,16.82,
Top 5 khách sạn 4 sao Đà Lạt sang trọng,khách sạn,1,420,62700,8225,4 sao,https://www.tiktok.com/@dalatcungtico/video/7217422273534266629,1,16.69,
Quán ăn vặt guột,chợ quán,1,1908,47200,62100,,https://www.tiktok.com/@_dmylinh/video/7299428100247506184,0,16.63,
Tavin Coffee,cafe,1,1537,49100,15700,,https://www.tiktok.com/@dalat_reels/video/7592931867377224980,1,16.45,
Quán cafe mới toanh tại Đà Lạt,cafe,1,1219,49700,117,,https://www.tiktok.com/@littletown.dalat/video/7632129162613951752,0,16.19,
Mercure Dalat Resort,khách sạn,1,184,58700,94,,https://www.tiktok.com/@datng.booking/video/7341378314323447060,1,16.05,
Quán cf mới mở,cafe,1,623,53700,111100,,https://www.tiktok.com/@nhanphepha/video/7603708453218979092,1,15.99,
New Light Coffee Đà Lạt,cafe,1,663,52900,207700,,https://www.tiktok.com/@didalatcungtruc/video/7633363595354590485,1,15.95,
Quảng Trường La Mã,địa điểm checkin,1,1193,45100,26700,,https://www.tiktok.com/@ducdodalat/video/7601042075273923858,1,15.7,
Quán ăn Bản Địa Đà Lạt,chợ quán,1,731,48500,5685,,https://www.tiktok.com/@quanngondalat/video/7460082988379049224,1,15.58,
Thác Dambri,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Thác Pongour (Thác Bảy Tầng),thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Thác Voi,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Thác Hang Cọp,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Thác Bảo Đại,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Thác Dasara,thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Thác Bobla (Thác Liên Đầm),thiên nhiên,1,960,45800,5478,,https://www.tiktok.com/@lasapinettedalat/video/7511670124668046600,1,15.54,
Cafe hidden hẻm nhỏ Đà Lạt,cafe,1,1479,37700,4106,,https://www.tiktok.com/@caphedi.dalat/video/7398767159897246994,0,15.25,
Tiệm cơm Hồi Nớ,chợ quán,1,916,40900,9914,ngon rẻ,https://www.tiktok.com/@nghiabiu.daily/video/7617051471355350292,1,15.01,
Lẩu gà lá é Tạo Ngộ,chợ quán,1,750,42400,74000,,https://www.tiktok.com/@sayhihuy/video/7350238587985726738,1,14.99,
Thác Datanalada,thiên nhiên,1,1664,33100,5238,,https://www.tiktok.com/@hoanganh.nicole/video/7231038630255480070,1,14.97,
Vườn cẩm tú cầu DonkiLand,địa điểm checkin,1,167,46600,58000,,https://www.tiktok.com/@dalatreviewcotam/video/7429645808452128001,1,14.83,
Địa điểm café xóm lẻ,cafe,1,1993,27600,738,,https://www.tiktok.com/@gianghiem01/video/7392422406733729040,0,14.75,
Hoa Phượng Tím,địa điểm checkin,1,602,40100,42900,,https://www.tiktok.com/@dihetdalat/video/7612572085180845333,0,14.61,
5 địa điểm có hoa phượng tím tại Đà Lạt,địa điểm checkin,1,603,40100,42900,,https://www.tiktok.com/@dihetdalat/video/7612572085180845333,0,14.61,
hostel,homestay,1,772,38000,17500,,https://www.tiktok.com/@reeceisgone/video/7601562561313803542,1,14.57,
Tiệm cơm Linh,chợ quán,1,644,37800,51900,,https://www.tiktok.com/@bolonton_/video/7480398850885274888,0,14.42,
Khu Vườn Bonsai Que Garden,thiên nhiên,1,555,37500,2616,,https://www.tiktok.com/@quegardenvanthanh/video/7519366669341347090,1,14.3,
Quán cà phê ngắm hoàng hôn,cafe,1,331,39600,184,,https://www.tiktok.com/@caphedalat01/video/7389894220972166421,0,14.29,
Hoa Xương Rồng,cafe,1,688,33600,184,,https://www.tiktok.com/@caphedalat01/video/7432858277999922440,1,14.05,
Chuyện Của Mơ,cafe,1,374,36000,336100,,https://www.tiktok.com/@lulureview_/video/7632984252665122066,1,13.97,
Quán ăn hạt siu hạt dẻ,chợ quán,1,272,36700,42800,,https://www.tiktok.com/@chuyen_cua_nu/video/7300857634893221138,0,13.94,
Ẩm thực Nam Anh Phát,chợ quán,1,2115,18200,5685,,https://www.tiktok.com/@quanngondalat/video/7458879362511686920,1,13.94,
Đồi Đa Phú,thiên nhiên,1,293,35400,7950,,https://www.tiktok.com/@tinaonthegooo/video/7168542515551948059,1,13.83,
Quán ăn Mẹ Con Huế,chợ quán,1,515,32800,4487,,https://www.tiktok.com/@meconhueodalat/video/7612220469835517205,0,13.8,
B'Nơm Kitchen,chợ quán,1,334,33400,177400,rẻ,https://www.tiktok.com/@kuti20297/video/7522678391573613831,1,13.67,
Quán cafe có hoa Tullip,cafe,1,616,30400,120500,,https://www.tiktok.com/@lananhne95/video/7323510371262795015,1,13.66,
Dalart Glamping,homestay,1,163,34600,1418,,https://www.tiktok.com/@dalart_glampingg/video/7582146251852909842,1,13.62,
Guye Histudio,địa điểm checkin,1,1287,20600,51100,,https://www.tiktok.com/@minhatminh/video/7529031556061531410,1,13.35,
Mood Cine,cafe,1,657,25700,944,,https://www.tiktok.com/@cineboxdalatt/video/7532168614066130184,1,13.23,
Tiệm Nhà Út,chợ quán,1,116,30200,1938,,https://www.tiktok.com/@duy.dalat/video/7303144569539988744,1,13.14,
Cherry Pet Coffee,cafe,1,227,28300,7447,,https://www.tiktok.com/@hiakhoa/video/7326562163907235074,1,13.06,
Thảo Muốn Nói,cafe,1,281,26600,14700,,https://www.tiktok.com/@thaodimuonnoi/video/7517469830358846728,1,12.94,
Quán cafe có vibe Đà Lạt,cafe,1,1351,15500,61900,,https://www.tiktok.com/@tutadida.sg/video/7321956744438074625,0,12.9,
Điểm săn mây đẹp nhất Đà Lạt,thiên nhiên,1,317,22800,2693,,https://www.tiktok.com/@dalattrongtim7/video/7588506929337584903,1,12.6,
Tiệm cafe cos,cafe,1,411,21400,20500,,https://www.tiktok.com/@chenhvenhcoffee/video/7614896395031465234,1,12.55,
THÁC 7 TẦNG ĐÀ LẠT,thiên nhiên,1,265,22600,16800,,https://www.tiktok.com/@ngavuica/video/7218601994297101595,1,12.53,
一角拍照新角落,地點打卡,1,944,15800,313300,,https://www.tiktok.com/@chillcungyang/video/7633673488582118663,0,12.52,
Cô Vy Chilly,cafe,1,279,21900,39100,,https://www.tiktok.com/@vie.viee__/video/7624514687627054356,1,12.47,
Tiệm ăn vặt Mây Hồng,chợ quán,1,484,19700,207700,,https://www.tiktok.com/@didalatcungtruc/video/7632508485653171477,1,12.45,
Quán cafe Thời Thanh Xuân,cafe,1,297,21500,23700,,https://www.tiktok.com/@traveleverywhere.vn/video/7399602885719346450,1,12.45,
Near coffee,cafe,1,163,22200,26700,,https://www.tiktok.com/@ducdodalat/video/7324336510549904658,1,12.38,
Wai cafe,cafe,1,163,22200,26700,,https://www.tiktok.com/@ducdodalat/video/7324336510549904658,1,12.38,
Chùa Linh Phước,địa điểm checkin,1,253,20000,3121,,https://www.tiktok.com/@tuankien.hoangkimtravel/video/7634580167255510279,1,12.25,
Kissa Cafe & Diner,cafe,1,516,16700,1400000,,https://www.tiktok.com/@kl.foodie/video/7638513319166463252,0,12.19,
Cafe Siu Hợp,cafe,1,428,14800,42800,,https://www.tiktok.com/@chuyen_cua_nu/video/7326017738105752839,1,11.91,
Tà Hũ Phớ,địa điểm checkin,1,73,16900,372,,https://www.tiktok.com/@quynhtim_family/video/7183902020577840427,1,11.76,
Say xưa,chợ quán,1,103,16500,8205,,https://www.tiktok.com/@bocauzotriiudalat/video/7524263642276105479,1,11.75,
Canh Homestay Dalat,homestay,1,490,12300,749,,https://www.tiktok.com/@gacnhohomestay/video/7626078738307878164,1,11.72,
Chiếc homestay Đà Lạt,homestay,1,521,10000,59300,từ 350k,https://www.tiktok.com/@hanyu339/video/7635585864441138452,1,11.52,
Nhà Thờ Vinh Sơn,thiên nhiên,1,340,11200,385,,https://www.tiktok.com/@daddydalat/video/7632503603315363080,1,11.46,
Cottage House,cafe,1,101,12700,2449,,https://www.tiktok.com/@thomdalat/video/7541610504578469127,1,11.37,
Café Cột Sắt,cafe,1,201,11600,789800,,https://www.tiktok.com/@nhandian/video/7635214351682522388,0,11.36,
Café Cung Điện,cafe,1,201,11600,789800,,https://www.tiktok.com/@nhandian/video/7635214351682522388,0,11.36,
Nan Hor,cafe,1,130,10600,6106,,https://www.tiktok.com/@nanhor_/video/7365333594476137745,1,11.19,
Khu vườn Cottage,địa điểm checkin,1,530,6533,11400,,https://www.tiktok.com/@thelittlecottage.dalat/video/7621769591382953236,1,11.18,
Cicilia Rouge Dalat, khách sạn,1,140,10300,2949,,https://www.tiktok.com/@congtyhoadalattravel.vn/video/7630011968153193748,1,11.17,
Mallorie Hotel, khách sạn,1,140,10300,2949,,https://www.tiktok.com/@congtyhoadalattravel.vn/video/7630011968153193748,1,11.17,
La Chérie Dalat, khách sạn,1,140,10300,2949,,https://www.tiktok.com/@congtyhoadalattravel.vn/video/7630011968153193748,1,11.17,
Coffee Shops,cafe,1,175,9604,32900,,https://www.tiktok.com/@jacobj_lars/video/7625439166242802958,0,11.14,
Tiệm Nướng Hoàng Hôn,khách sạn | nhà hàng,1,32,10400,13100,,https://www.tiktok.com/@tiemnuong.hoanghon/video/7625929424847883527,1,11.07,
Da Lat city,khác,1,210,8226,5941,,https://www.tiktok.com/@charlie.tsg/video/7578522219459005718,0,11.03,
Zen Homestay Dalat,homestay,1,443,5714,1353,,https://www.tiktok.com/@zenhomestaydalat/video/7605968521306197256,1,11.01,
Phủ Phê Đà Lạt,nhà hàng,1,51,9219,402,,https://www.tiktok.com/@phuphedl/video/7455275974356258056,1,10.97,
Quán nướng ngói Cù Đúc,chợ quán,1,113,8409,68800,,https://www.tiktok.com/@eatwithdien/video/7528458207006625041,0,10.95,
Tiệm ăn HoaVenRừng,nhà hàng,1,232,7162,816,,https://www.tiktok.com/@tiemangiadinhhoavenrung/video/7520852332108614930,1,10.95,
Da Lat Railway Station,địa điểm checkin,1,213,6848,210100,,https://www.tiktok.com/@vietnamtodayvtv/video/7577343259538689298,1,10.9,
Cuối tuần Linn đi Đà Lạt,homestay,1,89,7891,13200,,https://www.tiktok.com/@linnsharinghomedalat/video/7536814876862221576,1,10.88,
ATÊ goy,cafe,1,90,7562,458,,https://www.tiktok.com/@atesignature.dalat/video/7618554983851691284,1,10.85,
Mẻ C Coffee,cafe,1,242,5824,29400,,https://www.tiktok.com/@anhthuydaisy/video/7353807042613742849,0,10.82,
Chè và bún huế,chợ quán,1,126,6843,1322,,https://www.tiktok.com/@ngocdilacreview/video/7638502808114760980,0,10.81,
Cafe rừng nhiệt đới thu nhỏ,cafe,1,103,7005,39100,,https://www.tiktok.com/@vie.viee__/video/7622681539838561557,1,10.8,
Moidalat,cafe,1,130,6665,184,baotienmotmobinhyen,https://www.tiktok.com/@caphedalat01/video/7390576299573562644,1,10.8,Cafe Moidalat
Tiệm cà phê Custty - Coffee & More Đà Lạt,cafe,1,58,7331,184,,https://www.tiktok.com/@caphedalat01/video/7450131900565327111,1,10.79,
WAKEN BEANS COFFEE,cafe,1,193,5662,207,,https://www.tiktok.com/@dky.zzz0/video/7637853189676584212,1,10.76,
Guama Homestay,homestay,1,63,5933,69600,1tr1/ đêm,https://www.tiktok.com/@nguamodalat/video/7638250028758453524,1,10.66,
Catam,cafe,1,278,3673,32400,,https://www.tiktok.com/@chuyenlaca_/video/7564389953900170503,1,10.65,
Nơi nào cafe đẹp,cafe,1,36,6144,1568,,https://www.tiktok.com/@gotaditravel/video/7615478825572388117,0,10.65,
Café sáng sớm Đà Lạt,cafe,1,36,6144,1568,,https://www.tiktok.com/@gotaditravel/video/7615478825572388117,0,10.65,
Đèo SaCom,thiên nhiên,1,87,5334,26400,,https://www.tiktok.com/@giaygiaydalat/video/7638543354824854791,1,10.62,
Homestay Andalat,homestay,1,240,3204,50200,,https://www.tiktok.com/@namkinhcan3004/video/7636356410216942866,1,10.56,
Village Story,địa điểm checkin,1,71,4773,25700,,https://www.tiktok.com/@viehongdidau/video/7632976770332921095,1,10.55,
Cheo veo cà phê,cafe,1,75,4489,346,,https://www.tiktok.com/@chagiotomthitsieungon/video/7598760559059750165,1,10.52,
Circle Coffee,cafe,1,343,1623,9772,,https://www.tiktok.com/@hoaithuong420/video/7626258724960603412,1,10.51,
Long Quan Dui,homestay,1,54,4336,139400,,https://www.tiktok.com/@longquandui/video/7603970364657421586,1,10.49,
Hoa Nham Minh,homestay,1,88,3969,715,,https://www.tiktok.com/@homenhaminh_dalat/video/7638125167322877191,1,10.48,
Sleepbox,homestay,1,31,4446,1763,,https://www.tiktok.com/@bbgarden.dalat/video/7510101496059546888,1,10.48,Sleepbox tại BB's Garden
Vintage Cafe 1991,cafe,1,38,4441,25800,,https://www.tiktok.com/@hoaquynhdalat/video/7352741823116234001,1,10.48,
Rendez-vous,cafe,1,18,4346,240,,https://www.tiktok.com/@rendezvous_dalat/video/7523389423199849735,1,10.45,
Tiem cafe thang bay,cafe,1,63,3661,5567,,https://www.tiktok.com/@thanhluan.1010/video/7317634272913935618,1,10.43,
Đồi Mộng Mơ,thiên nhiên,1,189,2312,1339,,https://www.tiktok.com/@sk1p3r009/video/7497089146683542830,1,10.42,
Quán cà phê Đà Lạt,cafe,1,73,2936,117,,https://www.tiktok.com/@littletown.dalat/video/7634114282900196626,0,10.37,
Hoa Ven Rừng,địa điểm checkin,1,104,2500,816,,https://www.tiktok.com/@tiemangiadinhhoavenrung/video/7521937649511238920,1,10.35,
Chợ LightGem,chợ quán,1,76,2634,3440,,https://www.tiktok.com/@thaodiuu/video/7636721569640877319,1,10.34,
Datanla Đà Lạt,thiên nhiên,1,11,3141,14600,,https://www.tiktok.com/@wikidulich.com/video/7577590169797152018,1,10.33,
Hòn Bồ,thiên nhiên,1,59,2682,3828,,https://www.tiktok.com/@dalatchillmap/video/7561792004250815764,1,10.33,
Cafe Miền Du,cafe,1,247,761,2718,,https://www.tiktok.com/@chau.giang.dng/video/7632565519182236936,1,10.32,Café Miền Du
Khách sạn Hoa Quynh,khách sạn,1,43,2717,26100,,https://www.tiktok.com/@hoaquynhdalat/video/7634786190746488082,0,10.31,
RIN Hotel Dalat,khách sạn,1,52,2578,280,,https://www.tiktok.com/@rin.hotel/video/7632590461282045202,1,10.31,
Check-in free,địa điểm checkin,1,51,2449,43,,https://www.tiktok.com/@quin.pham997/video/7638249784771349780,0,10.3,
Thác Phí Liêng,thiên nhiên,1,104,1912,159,,https://www.tiktok.com/@datvolamdong/video/7634156937034173716,1,10.3,
LUXURY HOTEL ĐÀ LẠT,khách sạn,1,58,2325,123200,rẻ,https://www.tiktok.com/@tiktokgapgiquaydo/video/7638409963882188040,1,10.29,
Dốc Thị,thiên nhiên,1,77,1740,597,,https://www.tiktok.com/@top.check.in.da.lat/video/7575390744442064149,1,10.25,
Vườn cam Cara ruột đỏ,thiên nhiên,1,25,2110,2726,,https://www.tiktok.com/@thuy_nina2/video/7438507038516202760,1,10.24,
AirDream Cafe,cafe,1,28,2070,1272,,https://www.tiktok.com/@airdreamcafe/video/7638126017940376840,1,10.24,
Chiếc Riêng,chợ quán,1,17,2011,3037,còn phải chăng,https://www.tiktok.com/@cuocsongovungtau/video/7632905110674230548,1,10.22,
Cafe Tuimo,cafe,1,62,1606,368,,https://www.tiktok.com/@nurrul.k/video/7347781883209534726,1,10.22,
Quán cà phê ấm áp,chợ quán,1,68,1485,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7565844061144239367,0,10.22,
Tiệm Cafe Nhớ Hoài,cafe,1,62,1523,116,,https://www.tiktok.com/@langthanglk/video/7552701224886275336,1,10.21,
Homestay có chiếc bếp view triệu đô săn mây mỗi sáng,homestay,1,18,1851,192,,https://www.tiktok.com/@lilythichdichoi/video/7559603261465218325,1,10.2,
Villa có hồ bơi nước nóng,homestay,1,33,1589,1192,,https://www.tiktok.com/@diadiem.luutru/video/7597404491700292882,1,10.19,
Địa điểm check in miễn phí,địa điểm checkin,1,62,1212,515,,https://www.tiktok.com/@dahala.travel/video/7566847171107081480,0,10.18,
đồi Măng Lin,thiên nhiên,1,69,1104,640,,https://www.tiktok.com/@elllyvo/video/7627508083354324231,1,10.18,
Suối Mát,thiên nhiên,1,42,1416,2918,,https://www.tiktok.com/@vyy8234/video/7617701494036483336,1,10.18,
phòng khách sạn,khách sạn,1,34,1329,39,,https://www.tiktok.com/@catanh.hotel/video/7638246646534458631,0,10.17,
Vườn cam canh K'long K'lanh,thiên nhiên,1,60,984,2681,,https://www.tiktok.com/@lcd_dalat/video/7590671504824749332,1,10.16,
LIMI WORLD,địa điểm checkin,1,20,1441,1807,,https://www.tiktok.com/@quanthedulichpini/video/7433598646714748177,1,10.16,
Bánh Mì Xíu Mai 79,chợ quán,1,36,1246,102,22 - 25k/ phần,https://www.tiktok.com/@openmymindforfood/video/7507858481882402066,1,10.16,
Bliss Home,homestay,1,19,1422,2217,300 ka,https://www.tiktok.com/@bliss.home.govap/video/7638130333644360968,1,10.16,
Chon Binhyen Coffee,cafe,1,57,1010,90,,https://www.tiktok.com/@chonbinhyencoffeedalat/video/7624022339621047560,1,10.16,
Orio Homestay,homestay,1,29,1324,11100,,https://www.tiktok.com/@oriodalat/video/7638548448559500564,1,10.16,
Home đẹp,homestay,1,34,1167,1530,giá rẻ,https://www.tiktok.com/@duyenbookingdalat/video/7614884311837281554,1,10.15,
Nhà mới Nguyễn Hoàng,khách sạn,1,34,1203,48,2tỷ250tr,https://www.tiktok.com/@hongvanbdsdalat/video/7638251643766885653,1,10.15,
Trạm Duyệt Chill,địa điểm checkin,1,39,984,717,,https://www.tiktok.com/@dalatchillguy/video/7593286507075554578,1,10.14,
Tiệm cà phê Hoàng Hôn Chiều,cafe,1,50,900,64,,https://www.tiktok.com/@onenightstation/video/7551067372229102866,1,10.14,
Quán Cafe Mây,cafe,1,29,983,254,,https://www.tiktok.com/@noir.coffee.57/video/7637896514794278165,0,10.13,
Cây Cam Ngọt Coffee,cafe,1,37,761,53,,https://www.tiktok.com/@tienlendalat/video/7636201439043341586,1,10.11,
The Blessed Virgin Hotel,khách sạn,1,31,748,1013,,https://www.tiktok.com/@hodotadalatnha/video/7607050820575710480,1,10.11,
Quán Lẩu và Nướng Tôm Bầu,chợ quán,1,24,860,538,,https://www.tiktok.com/@tombaudalat/video/7628930848670158101,1,10.11,
1/2 Circle,cafe,1,16,928,768,,https://www.tiktok.com/@kim_luu1904/video/7446358616766041351,1,10.11,
Quán cafe check in Cực Chill,cafe | địa điểm checkin,1,35,622,16500,,https://www.tiktok.com/@anh_tai_xe_da_lat/video/7399143522173029639,1,10.1,
Si ☕🌿,cafe,1,31,616,2711,,https://www.tiktok.com/@sidalat.caphe/video/7638641386215984392,1,10.09,
Tiệm bánh Trăng Nhỏ,chợ quán,1,15,784,1921,,https://www.tiktok.com/@tiembanhtrangnhin/video/7638802322600152341,0,10.09,
Tiệm cà phê trong Rừng,cafe,1,26,592,113,,https://www.tiktok.com/@vudasar/video/7590390530903641364,1,10.09,
Xíu mại chén Đà Lạt,chợ quán,1,20,562,141,,https://www.tiktok.com/@lynio88/video/7308969069770722590,0,10.08,
Dinh Nhung Rose,thiên nhiên,1,18,604,4964,,https://www.tiktok.com/@dinhnhungrose/video/7638431364689317127,1,10.08,
Hồng Phát,cafe,1,27,527,165,,https://www.tiktok.com/@hongphatdalat/video/7635599682042957077,1,10.08,
BLUE DREAM,cafe,1,28,457,122,hơi đắt,https://www.tiktok.com/@nhamnhamnee/video/7638328243866635527,1,10.07,
Rose Hill Dalat Villa,homestay,1,17,502,430,,https://www.tiktok.com/@rosehillvilladalat/video/7610641855058808084,1,10.07,
Vườn thú Zoodoo,thiên nhiên,1,37,247,1560,,https://www.tiktok.com/@grinlai/video/7636632967338560775,1,10.06,
Beros,homestay,1,15,408,1192,,https://www.tiktok.com/@diadiem.luutru/video/7637828621704465684,1,10.06,
Ly Cafe,cafe,1,18,393,252300,,https://www.tiktok.com/@nguyenpalmas/video/7638304600553950472,1,10.06,
Café Sáng Ngã 3 Thác Pongour,cafe,1,23,326,1000,,https://www.tiktok.com/@smile.life.good/video/7593566255378926856,1,10.06,
Lẩu Treo Hoàng Hôn,chợ quán,1,8,373,0,,https://www.tiktok.com/@lautreohoanghon/video/7638308815603125522,0,10.05,
Khu trưng bày cổ vật Pi Ni,địa điểm checkin,1,15,373,1807,,https://www.tiktok.com/@quanthedulichpini/video/7434349282196589844,1,10.05,
Biệt điện Trần Lệ Xuân,địa điểm checkin,1,6,441,738,,https://www.tiktok.com/@hazelssketches/video/7634577373265956117,1,10.05,
Lưng Đồi,thiên nhiên,1,21,338,2311,,https://www.tiktok.com/@lungdoicoffee_backery/video/7615550815121575186,1,10.05,
Misol Coffee,cafe,1,22,270,2784,,https://www.tiktok.com/@misolcoffee/video/7636216950393441557,1,10.05,
